outcome,category_name,backers,total
failed,Art,0,92
failed,Art,1,70
failed,Art,2,35
failed,Art,3,35
failed,Art,4,22
failed,Art,5,19
failed,Art,6,16
failed,Art,7,5
failed,Art,8,11
failed,Art,9,14
failed,Art,10,6
failed,Art,11,13
failed,Art,12,3
failed,Art,13,9
failed,Art,14,9
failed,Art,15,2
failed,Art,16,5
failed,Art,17,5
failed,Art,18,4
failed,Art,19,2
failed,Art,20,3
failed,Art,21,1
failed,Art,22,3
failed,Art,23,1
failed,Art,24,3
failed,Art,25,2
failed,Art,26,2
failed,Art,27,2
failed,Art,28,3
failed,Art,29,1
failed,Art,30,2
failed,Art,32,1
failed,Art,33,2
failed,Art,34,1
failed,Art,35,1
failed,Art,36,1
failed,Art,38,2
failed,Art,40,1
failed,Art,43,1
failed,Art,45,2
failed,Art,47,2
failed,Art,48,2
failed,Art,51,1
failed,Art,52,1
failed,Art,55,1
failed,Art,67,1
failed,Art,70,1
failed,Art,71,1
failed,Art,74,1
failed,Art,78,1
failed,Art,79,1
failed,Art,83,1
failed,Art,86,1
failed,Art,111,1
failed,Art,158,1
failed,Art,170,1
failed,Art,292,1
failed,Art,393,1
failed,Comics,0,11
failed,Comics,1,11
failed,Comics,2,10
failed,Comics,3,10
failed,Comics,4,11
failed,Comics,5,6
failed,Comics,6,8
failed,Comics,7,5
failed,Comics,9,6
failed,Comics,10,2
failed,Comics,11,2
failed,Comics,12,3
failed,Comics,13,3
failed,Comics,14,3
failed,Comics,15,3
failed,Comics,16,4
failed,Comics,17,1
failed,Comics,19,2
failed,Comics,24,4
failed,Comics,25,1
failed,Comics,28,2
failed,Comics,30,2
failed,Comics,31,2
failed,Comics,32,2
failed,Comics,37,2
failed,Comics,38,1
failed,Comics,39,1
failed,Comics,40,1
failed,Comics,41,1
failed,Comics,42,1
failed,Comics,44,1
failed,Comics,47,1
failed,Comics,51,1
failed,Comics,56,1
failed,Comics,57,2
failed,Comics,58,1
failed,Comics,64,1
failed,Comics,68,1
failed,Comics,77,1
failed,Comics,81,1
failed,Comics,94,1
failed,Comics,96,1
failed,Comics,99,1
failed,Comics,103,1
failed,Comics,217,1
failed,Comics,265,1
failed,Crafts,0,41
failed,Crafts,1,35
failed,Crafts,2,22
failed,Crafts,3,17
failed,Crafts,4,15
failed,Crafts,5,5
failed,Crafts,7,6
failed,Crafts,9,1
failed,Crafts,10,1
failed,Crafts,11,3
failed,Crafts,13,1
failed,Crafts,14,2
failed,Crafts,15,1
failed,Crafts,17,1
failed,Crafts,18,1
failed,Crafts,20,3
failed,Crafts,21,2
failed,Crafts,24,1
failed,Crafts,25,1
failed,Crafts,26,1
failed,Crafts,29,1
failed,Crafts,36,1
failed,Crafts,39,1
failed,Crafts,41,1
failed,Crafts,42,1
failed,Crafts,49,1
failed,Crafts,62,1
failed,Dance,0,4
failed,Dance,1,1
failed,Dance,2,8
failed,Dance,3,1
failed,Dance,4,1
failed,Dance,5,1
failed,Dance,6,3
failed,Dance,7,1
failed,Dance,8,1
failed,Dance,11,1
failed,Dance,12,1
failed,Dance,14,1
failed,Dance,18,2
failed,Dance,22,1
failed,Dance,24,1
failed,Dance,38,1
failed,Dance,54,1
failed,Design,0,35
failed,Design,1,36
failed,Design,2,33
failed,Design,3,24
failed,Design,4,22
failed,Design,5,21
failed,Design,6,16
failed,Design,7,8
failed,Design,8,11
failed,Design,9,16
failed,Design,10,5
failed,Design,11,8
failed,Design,12,12
failed,Design,13,14
failed,Design,14,6
failed,Design,15,9
failed,Design,16,6
failed,Design,17,4
failed,Design,18,3
failed,Design,19,3
failed,Design,20,4
failed,Design,21,5
failed,Design,22,4
failed,Design,23,1
failed,Design,24,2
failed,Design,25,2
failed,Design,26,6
failed,Design,27,5
failed,Design,28,6
failed,Design,29,6
failed,Design,30,2
failed,Design,31,4
failed,Design,33,2
failed,Design,34,2
failed,Design,35,3
failed,Design,36,3
failed,Design,37,3
failed,Design,38,5
failed,Design,39,1
failed,Design,40,3
failed,Design,42,3
failed,Design,43,2
failed,Design,44,3
failed,Design,45,1
failed,Design,46,1
failed,Design,47,1
failed,Design,48,1
failed,Design,49,2
failed,Design,50,1
failed,Design,52,1
failed,Design,53,2
failed,Design,54,2
failed,Design,55,2
failed,Design,57,1
failed,Design,58,3
failed,Design,59,1
failed,Design,60,5
failed,Design,63,1
failed,Design,64,1
failed,Design,67,1
failed,Design,70,2
failed,Design,75,2
failed,Design,79,1
failed,Design,83,1
failed,Design,84,1
failed,Design,85,1
failed,Design,86,3
failed,Design,91,1
failed,Design,95,1
failed,Design,98,1
failed,Design,99,1
failed,Design,100,1
failed,Design,107,3
failed,Design,109,1
failed,Design,112,1
failed,Design,120,1
failed,Design,126,1
failed,Design,129,1
failed,Design,130,1
failed,Design,133,1
failed,Design,134,1
failed,Design,135,1
failed,Design,136,2
failed,Design,138,2
failed,Design,139,1
failed,Design,141,1
failed,Design,149,1
failed,Design,158,1
failed,Design,159,1
failed,Design,174,1
failed,Design,193,1
failed,Design,194,1
failed,Design,199,1
failed,Design,214,1
failed,Design,227,1
failed,Design,238,1
failed,Design,245,1
failed,Design,253,1
failed,Design,265,1
failed,Design,316,1
failed,Design,390,1
failed,Design,406,1
failed,Design,460,1
failed,Design,621,1
failed,Design,780,1
failed,Fashion,0,91
failed,Fashion,1,73
failed,Fashion,2,49
failed,Fashion,3,32
failed,Fashion,4,17
failed,Fashion,5,10
failed,Fashion,6,13
failed,Fashion,7,17
failed,Fashion,8,9
failed,Fashion,9,7
failed,Fashion,10,6
failed,Fashion,11,7
failed,Fashion,12,3
failed,Fashion,13,4
failed,Fashion,14,4
failed,Fashion,15,5
failed,Fashion,17,4
failed,Fashion,18,4
failed,Fashion,19,7
failed,Fashion,20,5
failed,Fashion,21,2
failed,Fashion,22,3
failed,Fashion,23,3
failed,Fashion,24,3
failed,Fashion,28,1
failed,Fashion,29,1
failed,Fashion,32,1
failed,Fashion,33,4
failed,Fashion,34,1
failed,Fashion,35,2
failed,Fashion,36,1
failed,Fashion,37,1
failed,Fashion,42,1
failed,Fashion,43,2
failed,Fashion,46,1
failed,Fashion,47,1
failed,Fashion,51,1
failed,Fashion,52,1
failed,Fashion,55,1
failed,Fashion,60,1
failed,Fashion,63,1
failed,Fashion,64,1
failed,Fashion,65,1
failed,Fashion,68,1
failed,Fashion,69,2
failed,Fashion,78,1
failed,Fashion,83,1
failed,Fashion,111,1
failed,Fashion,117,1
failed,Fashion,120,1
failed,Fashion,136,1
failed,Fashion,139,1
failed,Fashion,263,1
failed,Fashion,273,1
failed,Fashion,338,1
failed,"Film & Video",0,251
failed,"Film & Video",1,153
failed,"Film & Video",2,111
failed,"Film & Video",3,66
failed,"Film & Video",4,59
failed,"Film & Video",5,48
failed,"Film & Video",6,32
failed,"Film & Video",7,35
failed,"Film & Video",8,25
failed,"Film & Video",9,17
failed,"Film & Video",10,18
failed,"Film & Video",11,13
failed,"Film & Video",12,6
failed,"Film & Video",13,16
failed,"Film & Video",14,18
failed,"Film & Video",15,12
failed,"Film & Video",16,16
failed,"Film & Video",17,18
failed,"Film & Video",18,9
failed,"Film & Video",19,7
failed,"Film & Video",20,13
failed,"Film & Video",21,8
failed,"Film & Video",22,10
failed,"Film & Video",23,6
failed,"Film & Video",24,7
failed,"Film & Video",25,6
failed,"Film & Video",26,8
failed,"Film & Video",27,9
failed,"Film & Video",28,8
failed,"Film & Video",29,4
failed,"Film & Video",30,2
failed,"Film & Video",31,5
failed,"Film & Video",32,3
failed,"Film & Video",33,3
failed,"Film & Video",34,5
failed,"Film & Video",35,4
