outcome,category_name,goal_in_thousand,total
failed,"Film & Video",0,1
failed,Publishing,0,3
successful,Art,0,1
successful,Design,0,2
successful,Food,0,1
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
successful,Publishing,0,1
successful,Crafts,0,1
failed,Music,0,1
successful,"Film & Video",0,1
successful,Crafts,0,1
successful,Art,0,2
successful,Design,0,1
successful,Games,0,1
failed,Theater,0,1
failed,Art,0,2
failed,Food,0,4
failed,Music,0,1
successful,Art,0,1
successful,Food,0,3
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
failed,Crafts,0,1
failed,Food,0,1
successful,Food,0,2
successful,Games,0,1
failed,Food,0,2
failed,Games,0,1
successful,Fashion,0,1
failed,Food,0,2
successful,Art,0,1
successful,Comics,0,1
successful,Crafts,0,1
successful,Design,0,1
successful,Fashion,0,2
successful,"Film & Video",0,1
successful,Fashion,0,1
failed,Publishing,0,1
successful,Design,0,1
successful,"Film & Video",0,2
successful,Food,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Theater,0,1
failed,Art,0,1
failed,Food,0,3
successful,Design,0,1
successful,Music,0,1
failed,Food,0,1
successful,Art,0,1
failed,Art,0,1
failed,Food,0,1
successful,Crafts,0,1
failed,Comics,0,2
failed,Crafts,0,1
failed,"Film & Video",0,1
failed,Music,0,1
failed,Photography,0,1
failed,Theater,0,1
successful,Comics,0,2
successful,Crafts,0,1
successful,"Film & Video",0,1
successful,Food,0,2
successful,Games,0,2
successful,Music,0,1
successful,Publishing,0,1
successful,Art,0,1
failed,Art,0,1
failed,Design,0,1
failed,Journalism,0,1
failed,Music,0,1
failed,Music,0,1
successful,Games,0,1
failed,Technology,0,1
successful,Comics,0,2
successful,Photography,0,1
failed,Art,0,3
failed,Design,0,1
failed,Fashion,0,4
failed,"Film & Video",0,5
failed,Food,0,7
failed,Games,0,1
failed,Journalism,0,1
failed,Music,0,3
failed,Publishing,0,6
failed,Technology,0,1
successful,Art,0,5
successful,Crafts,0,1
successful,Design,0,1
successful,Fashion,0,2
successful,"Film & Video",0,2
successful,Food,0,3
successful,Games,0,3
successful,Music,0,2
successful,Photography,0,1
successful,Publishing,0,6
successful,Technology,0,1
successful,Art,0,1
successful,Crafts,0,1
successful,Comics,0,1
failed,Publishing,0,1
successful,Publishing,0,1
failed,Crafts,0,1
failed,Technology,0,1
successful,Art,0,1
failed,Publishing,0,1
successful,Art,0,1
successful,Photography,0,1
failed,Crafts,0,2
failed,Design,0,1
failed,"Film & Video",0,1
failed,Music,0,1
failed,Theater,0,1
successful,Art,0,6
successful,Comics,0,1
successful,Fashion,0,3
successful,"Film & Video",0,2
successful,Publishing,0,2
successful,Technology,0,1
failed,Games,0,1
successful,Photography,0,1
successful,Music,0,1
failed,Art,0,4
failed,Comics,0,2
failed,Crafts,0,3
failed,Design,0,2
failed,Fashion,0,1
failed,"Film & Video",0,2
failed,Food,0,2
failed,Games,0,1
failed,Photography,0,2
failed,Publishing,0,1
successful,Art,0,6
successful,Comics,0,2
successful,Crafts,0,3
successful,Design,0,1
successful,Fashion,0,1
successful,"Film & Video",0,3
successful,Food,0,1
successful,Games,0,5
successful,Music,0,3
successful,Publishing,0,3
successful,Theater,0,1
failed,Technology,0,1
failed,Crafts,0,1
failed,Fashion,0,1
failed,Publishing,0,1
successful,Design,0,1
successful,"Film & Video",0,1
failed,Publishing,0,1
failed,Art,0,5
failed,Crafts,0,2
failed,Fashion,0,1
failed,Games,0,1
failed,Music,0,3
failed,Publishing,0,3
failed,Technology,0,2
successful,Art,0,3
successful,Comics,0,1
successful,Crafts,0,2
successful,Fashion,0,1
successful,Food,0,2
successful,Games,0,4
successful,Music,0,4
successful,Photography,0,2
successful,Publishing,0,5
successful,Technology,0,1
successful,Comics,0,1
successful,Fashion,0,1
failed,Publishing,0,1
successful,"Film & Video",0,1
successful,Games,0,1
failed,Fashion,0,1
failed,Art,0,3
failed,Comics,0,4
failed,Crafts,0,3
failed,Design,0,3
failed,"Film & Video",0,5
failed,Food,0,2
failed,Music,0,6
failed,Publishing,0,6
successful,Art,0,6
successful,Comics,0,4
successful,Crafts,0,4
successful,Design,0,2
successful,Fashion,0,1
successful,"Film & Video",0,4
successful,Food,0,1
successful,Games,0,2
successful,Music,0,8
successful,Photography,0,2
successful,Publishing,0,1
successful,Technology,0,1
successful,Theater,0,6
failed,"Film & Video",0,1
failed,Art,0,1
successful,Art,0,1
successful,Fashion,0,1
successful,Music,0,1
successful,Art,0,1
successful,Music,0,1
failed,Publishing,0,1
failed,Art,0,7
failed,Crafts,0,1
failed,Fashion,0,1
failed,"Film & Video",0,3
failed,Food,0,1
successful,Art,0,4
successful,Comics,0,3
successful,Fashion,0,1
successful,"Film & Video",0,2
successful,Games,0,1
successful,Music,0,5
successful,Theater,0,2
failed,Crafts,0,1
failed,"Film & Video",0,1
successful,Fashion,0,1
successful,Art,0,1
failed,Fashion,0,1
failed,Publishing,0,1
successful,"Film & Video",0,1
successful,Publishing,0,2
failed,Art,0,1
failed,Art,0,1
failed,Fashion,0,1
failed,Art,0,1
successful,Comics,0,1
successful,"Film & Video",0,1
failed,Art,0,4
failed,Comics,0,1
failed,Design,0,1
failed,Fashion,0,3
failed,"Film & Video",0,4
failed,Games,0,1
failed,Music,0,2
failed,Publishing,0,2
failed,Technology,0,1
successful,Art,0,3
successful,Comics,0,1
successful,Crafts,0,1
successful,Design,0,2
successful,Fashion,0,4
successful,"Film & Video",0,4
successful,Food,0,1
successful,Music,0,5
successful,Photography,0,2
successful,Publishing,0,2
successful,Technology,0,1
successful,Theater,0,1
failed,Fashion,0,1
failed,Fashion,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Music,0,1
successful,Crafts,0,1
successful,Games,0,1
successful,Publishing,0,1
successful,Comics,0,1
failed,Art,0,2
failed,Crafts,0,2
failed,Design,0,1
failed,"Film & Video",0,1
failed,Food,0,1
failed,Games,0,1
failed,Publishing,0,1
successful,Art,0,2
successful,Crafts,0,2
successful,Games,0,1
successful,Music,0,2
successful,Photography,0,1
successful,Theater,0,1
successful,Food,0,1
failed,Technology,0,1
failed,Publishing,0,1
successful,Comics,0,1
successful,Music,0,1
failed,Art,0,25
failed,Comics,0,1
failed,Crafts,0,9
failed,Design,0,5
failed,Fashion,0,12
failed,"Film & Video",0,25
failed,Food,0,7
failed,Games,0,12
failed,Journalism,0,3
failed,Music,0,21
failed,Photography,0,4
failed,Publishing,0,16
failed,Technology,0,7
failed,Theater,0,1
successful,Art,0,18
successful,Comics,0,10
successful,Crafts,0,8
successful,Dance,0,1
successful,Design,0,17
successful,Fashion,0,8
successful,"Film & Video",0,26
successful,Food,0,7
successful,Games,0,23
successful,Journalism,0,3
successful,Music,0,28
successful,Photography,0,6
successful,Publishing,0,14
successful,Technology,0,4
successful,Theater,0,8
failed,"Film & Video",1,1
failed,Art,1,1
successful,Dance,1,1
failed,Art,1,2
failed,Crafts,1,1
failed,Design,1,1
failed,"Film & Video",1,1
failed,Music,1,1
failed,Publishing,1,1
successful,"Film & Video",1,3
successful,Music,1,3
successful,Publishing,1,1
failed,Fashion,1,1
successful,Games,1,1
successful,Publishing,1,1
successful,"Film & Video",1,1
successful,Music,1,1
failed,"Film & Video",1,1
failed,Art,1,5
failed,Crafts,1,1
failed,Design,1,1
failed,Fashion,1,2
failed,"Film & Video",1,7
failed,Games,1,1
failed,Music,1,7
failed,Publishing,1,7
failed,Technology,1,1
failed,Theater,1,2
successful,Art,1,8
successful,Comics,1,2
successful,Crafts,1,1
successful,Dance,1,1
successful,Design,1,2
successful,Fashion,1,2
successful,"Film & Video",1,11
successful,Games,1,4
successful,Music,1,9
successful,Photography,1,2
successful,Publishing,1,7
successful,Technology,1,1
successful,Theater,1,2
failed,Technology,1,1
successful,Art,1,2
failed,Art,1,1
successful,Games,1,1
failed,Crafts,1,2
failed,"Film & Video",1,1
failed,Food,1,1
failed,Music,1,1
failed,Photography,1,1
failed,Publishing,1,1
successful,Art,1,3
successful,Comics,1,1
successful,"Film & Video",1,4
successful,Food,1,1
successful,Music,1,1
successful,Photography,1,1
successful,Publishing,1,1
failed,Publishing,1,1
failed,Games,1,1
successful,Art,1,1
successful,Comics,1,1
