outcome,campaign_length_in_days,category_name,sub_category_name,total
failed,1,Art,Art,1
failed,1,Art,Illustration,1
failed,1,"Film & Video",Documentary,1
failed,3,Art,Illustration,1
failed,3,Art,"Performance Art",1
failed,3,Crafts,Stationery,1
failed,3,Publishing,Publishing,2
failed,3,Technology,Apps,1
failed,3,Technology,Web,1
failed,4,"Film & Video",Documentary,1
failed,4,Games,Games,1
failed,5,Crafts,DIY,1
failed,5,Crafts,Knitting,1
failed,5,Design,"Product Design",2
failed,5,Publishing,Nonfiction,2
failed,6,Art,"Video Art",1
failed,6,Crafts,Crafts,1
failed,6,"Film & Video",Animation,1
failed,6,"Film & Video",Documentary,1
failed,6,"Film & Video","Narrative Film",1
failed,6,Games,"Live Games",1
failed,6,Photography,Photography,1
failed,6,Publishing,Nonfiction,1
failed,6,Technology,Web,1
failed,6,Theater,Musical,1
failed,7,Art,Art,1
failed,7,Art,Illustration,1
failed,7,Art,"Mixed Media",1
failed,7,Art,"Performance Art",1
failed,7,Art,"Public Art",1
failed,7,Art,Sculpture,1
failed,7,Crafts,DIY,1
failed,7,Crafts,Woodworking,1
failed,7,Design,"Product Design",1
failed,7,Fashion,Fashion,1
failed,7,"Film & Video",Documentary,2
failed,7,"Film & Video","Film & Video",1
failed,7,"Film & Video",Romance,1
failed,7,"Film & Video",Webseries,2
failed,7,Food,Restaurants,1
failed,7,Food,"Small Batch",1
failed,7,Games,"Video Games",2
failed,7,Music,Hip-Hop,1
failed,7,Music,Rock,1
failed,7,Publishing,"Art Books",1
failed,7,Publishing,Nonfiction,2
failed,7,Publishing,"Young Adult",1
failed,8,Art,"Digital Art",1
failed,8,"Film & Video",Comedy,1
failed,8,"Film & Video",Horror,1
failed,8,"Film & Video","Science Fiction",1
failed,8,Music,"Indie Rock",1
failed,8,Publishing,"Radio & Podcasts",1
failed,8,Technology,"Space Exploration",1
failed,9,Art,"Performance Art",1
failed,9,Art,"Public Art",1
failed,9,"Film & Video",Documentary,1
failed,9,"Film & Video","Music Videos",1
failed,9,Music,Hip-Hop,1
failed,9,Music,Metal,1
failed,9,Music,"World Music",1
failed,9,Publishing,Publishing,1
failed,10,Art,Art,1
failed,10,Art,Illustration,1
failed,10,Art,Painting,1
failed,10,Art,Sculpture,1
failed,10,Comics,"Comic Books",1
failed,10,Crafts,Woodworking,1
failed,10,Dance,Dance,1
failed,10,Design,"Product Design",1
failed,10,Fashion,Fashion,1
failed,10,Fashion,Jewelry,1
failed,10,"Film & Video",Documentary,1
failed,10,"Film & Video","Film & Video",3
failed,10,"Film & Video",Horror,1
failed,10,"Film & Video","Science Fiction",1
failed,10,Food,Events,1
failed,10,Games,"Video Games",1
failed,10,Journalism,Journalism,1
failed,10,Journalism,Print,1
failed,10,Music,Music,1
failed,10,Music,Music,1
failed,10,Photography,"Fine Art",2
failed,10,Publishing,Fiction,1
failed,10,Publishing,Nonfiction,3
failed,10,Publishing,Publishing,1
failed,10,Technology,Technology,1
failed,10,Technology,Web,1
failed,10,Theater,Experimental,2
failed,11,Crafts,Crafts,1
failed,11,Dance,Dance,1
failed,11,Design,"Product Design",2
failed,11,"Film & Video",Documentary,1
failed,11,"Film & Video",Shorts,1
failed,11,"Film & Video",Webseries,1
failed,11,Games,"Playing Cards",2
failed,11,Games,"Video Games",1
failed,11,Photography,Photography,1
failed,11,Theater,Theater,1
failed,12,Art,"Mixed Media",1
failed,12,Crafts,Candles,1
failed,12,Design,Design,1
failed,12,Fashion,Fashion,1
failed,12,"Film & Video",Documentary,1
failed,12,"Film & Video",Family,1
failed,12,Music,"Country & Folk",1
failed,12,Music,"Electronic Music",1
failed,12,Music,R&B,1
failed,12,Publishing,Fiction,1
failed,13,Art,"Performance Art",1
failed,13,Fashion,Fashion,1
failed,13,Fashion,Jewelry,1
failed,13,"Film & Video",Documentary,2
failed,13,Food,"Farmer's Markets",1
failed,13,Food,Food,1
failed,13,Games,"Tabletop Games",1
failed,13,Journalism,Journalism,1
failed,13,Music,"Indie Rock",1
failed,13,Technology,Software,1
failed,13,Technology,Technology,1
failed,14,Art,Art,1
failed,14,Art,Ceramics,1
failed,14,Art,"Mixed Media",1
failed,14,Crafts,Crafts,2
failed,14,Dance,Dance,1
failed,14,Design,"Graphic Design",1
failed,14,Fashion,Apparel,3
failed,14,Fashion,Fashion,2
failed,14,"Film & Video",Animation,1
failed,14,"Film & Video",Documentary,1
failed,14,"Film & Video",Drama,1
failed,14,"Film & Video","Film & Video",1
failed,14,"Film & Video",Shorts,1
failed,14,"Film & Video",Thrillers,1
failed,14,"Film & Video",Webseries,2
failed,14,Food,Farms,2
failed,14,Food,Food,1
failed,14,Games,"Tabletop Games",1
failed,14,Games,"Video Games",1
failed,14,Music,"Electronic Music",1
failed,14,Music,Music,1
failed,14,Music,Rock,1
failed,14,Publishing,Fiction,3
failed,14,Publishing,Nonfiction,3
failed,14,Publishing,Publishing,1
failed,14,Technology,Software,1
failed,14,Technology,Web,1
failed,14,Theater,Musical,1
failed,14,Theater,Theater,1
failed,15,Art,Art,1
failed,15,Art,Illustration,2
failed,15,Art,Installations,2
failed,15,Art,"Mixed Media",2
failed,15,Art,Painting,1
failed,15,Art,"Public Art",1
failed,15,Art,Sculpture,1
failed,15,Crafts,Crafts,1
failed,15,Crafts,Stationery,1
failed,15,Dance,Workshops,1
failed,15,Design,Design,1
failed,15,Design,"Graphic Design",1
failed,15,Design,"Product Design",4
failed,15,Fashion,Apparel,4
failed,15,Fashion,Fashion,4
failed,15,"Film & Video",Documentary,3
failed,15,"Film & Video","Film & Video",5
failed,15,"Film & Video",Horror,1
failed,15,"Film & Video",Shorts,3
failed,15,"Film & Video",Webseries,2
failed,15,Food,Events,1
failed,15,Food,Food,7
failed,15,Food,"Small Batch",1
failed,15,Games,"Gaming Hardware",1
failed,15,Games,"Live Games",1
failed,15,Games,"Tabletop Games",1
failed,15,Games,"Video Games",1
failed,15,Journalism,Print,1
failed,15,Music,Hip-Hop,1
failed,15,Music,Jazz,1
failed,15,Music,Music,2
failed,15,Music,Pop,4
failed,15,Music,Punk,1
failed,15,Photography,Nature,2
failed,15,Photography,People,2
failed,15,Photography,Photography,1
failed,15,Publishing,Academic,1
failed,15,Publishing,"Art Books",1
failed,15,Publishing,Calendars,1
failed,15,Publishing,"Children's Books",2
failed,15,Publishing,Fiction,1
failed,15,Publishing,Nonfiction,3
failed,15,Publishing,Publishing,2
failed,15,Technology,Technology,4
failed,15,Technology,Web,1
failed,15,Theater,Experimental,1
failed,15,Theater,Musical,1
failed,15,Theater,Theater,1
failed,16,Art,Illustration,1
failed,16,Art,Painting,2
failed,16,Comics,"Comic Books",1
failed,16,Comics,Comics,2
failed,16,Design,"Civic Design",1
failed,16,Design,Design,1
failed,16,Fashion,Accessories,1
