outcome,category_name,sub_category_name,goal,pledged,outcome
failed,"Film & Video",Webseries,15000,20,failed
failed,"Film & Video",Animation,5000,1497,failed
successful,Fashion,Apparel,6000,8795,successful
failed,"Film & Video",Documentary,2000000,2,failed
failed,Art,Illustration,2500,230,failed
failed,Theater,Theater,55000,9316,failed
failed,"Film & Video",Webseries,6000,161,failed
failed,"Film & Video",Comedy,50000,0,failed
failed,Crafts,Crafts,12000,306,failed
failed,Art,"Digital Art",30000,111,failed
failed,Food,Farms,2500,405,failed
failed,Technology,Web,16800,101,failed
failed,Art,"Public Art",10000,2,failed
successful,Publishing,Nonfiction,2500,2525,successful
successful,"Film & Video",Shorts,1500,1525,successful
successful,Music,Music,1000,1494,successful
successful,"Film & Video",Shorts,2695,3667.13,successful
successful,Music,Rock,5000,5847,successful
failed,Music,Rock,800,425,failed
failed,Music,Hip-Hop,3500,1,failed
failed,Photography,Photography,3800,1488,failed
failed,Food,Food,17000,20,failed
failed,"Film & Video",Documentary,5600,1026,failed
failed,"Film & Video",Documentary,15000,1401,failed
successful,Music,Pop,12000,12545,successful
failed,"Film & Video","Narrative Film",50,30,failed
failed,Theater,Experimental,5000,1651,failed
successful,Comics,"Comic Books",5200,6419,successful
failed,Fashion,Fashion,800,0,failed
failed,Food,Food,3000,0,failed
failed,Design,Design,8900,281,failed
successful,"Film & Video","Film & Video",4000,4001,successful
failed,Design,"Product Design",35000,185,failed
failed,Games,"Video Games",2500,281,failed
successful,Theater,Theater,8000,8086,successful
failed,Design,"Product Design",20000,1254,failed
failed,Games,"Gaming Hardware",5000,0,failed
successful,Games,"Tabletop Games",1500,9071,successful
successful,Publishing,Poetry,1500,5276.01,successful
successful,Art,Painting,3000,4268,successful
successful,Food,Food,40000,45026,successful
failed,"Film & Video",Documentary,70000,7071,failed
successful,Design,"Product Design",40000,242014,successful
successful,Technology,Technology,15000,26206,successful
successful,Fashion,Accessories,2000,10604,successful
failed,Games,"Video Games",30000,30,failed
successful,"Film & Video",Shorts,6000,6000,successful
failed,"Film & Video",Horror,20000,310,failed
successful,"Film & Video",Documentary,5000,5117,successful
failed,Fashion,Apparel,25000,978,failed
failed,Fashion,Apparel,375,0,failed
failed,Music,Music,10000,2470,failed
successful,Music,Pop,5000,5475,successful
failed,Games,"Video Games",4000,306,failed
successful,Theater,Theater,2222,2246,successful
failed,Design,"Product Design",50000,300,failed
successful,Music,Music,2500,2880,successful
failed,Games,"Tabletop Games",7000,1752,failed
successful,"Film & Video","Narrative Film",8000,8046,successful
