year,campaign_length_in_days,goal,pledged,backers,outcome
2013,30,1500,9071,164,successful
2015,30,7000,1752,38,failed
2015,30,8000,1643,55,failed
2013,8,88,4587,155,successful
2013,30,15000,3221,50,failed
2011,30,500,813,30,successful
2014,30,250000,0,0,failed
2015,32,6500,8076,242,successful
2013,25,2000,14851,178,successful
2014,30,1000,1135,21,successful
2015,30,500,901,25,successful
2014,20,10000,28490.42,572,successful
2016,31,15000,2480,74,failed
2015,31,22000,13066,226,failed
2012,56,2500,11305,283,successful
2013,30,7000,237,13,failed
2010,46,3000,3327,48,successful
2014,33,45000,2363,40,failed
2015,31,1650,25206,1880,successful
2017,31,15000,44873,1433,successful
2015,32,16000,6023,123,failed
2013,45,25000,1977,13,failed
2016,22,1000,1516,48,successful
2012,59,12500,278,8,failed
2017,30,10000,461,10,failed
2015,44,2000,4653,99,successful
2016,30,5000,5727.01,130,successful
2013,30,7000,189,5,failed
2015,28,10000,224,8,failed
2016,43,7200,3496,47,failed
2013,30,1800,2136,65,successful
2015,30,10000,10215,62,successful
2017,30,100,2043,37,successful
2012,45,25000,65980.72,942,successful
2016,30,37323,3011,52,failed
2016,30,18000,45198.5,879,successful
2017,23,3000,470,10,failed
2015,30,37000,10333,152,failed
2017,28,1000,84356,892,successful
2013,13,2700,2,1,failed
2017,27,6000,10799,427,successful
2016,30,9000,11252,356,successful
2012,40,14000,8171,202,failed
2017,25,3500,9158,61,successful
2014,33,2000,2000,8,successful
2014,42,8400,601,18,failed
2016,30,15000,6,3,failed
2012,30,5000,6050,221,successful
2014,30,100,20,4,failed
2013,36,100000,346772.24,3293,successful
2013,30,16500,13348,431,failed
2016,60,4000,4973,78,successful
2016,60,6000,6156,44,successful
2013,48,14000,8077,224,failed
2012,30,500,1002.72,48,successful
2016,33,10000,687,27,failed
2016,30,2500,2990,52,successful
2012,45,15000,210237.42,2045,successful
2014,30,10000,295,11,failed
2017,34,3800,3939,60,successful
2015,30,1000,2176,23,successful
2017,45,12500,3206,65,failed
2016,7,10000,98409.52,5119,successful
2016,30,10000,10617,86,successful
2017,32,30000,27268,177,failed
2012,30,25000,28083,20,successful
2016,36,18000,23234.95,491,successful
2017,5,10,74,37,successful
2017,30,1000,1001,62,successful
2016,30,5500,298,8,failed
2014,38,25000,2978,56,failed
2014,30,12000,76,3,failed
2011,46,5000,34436.65,814,successful
2017,31,20000,143555,1623,successful
2017,27,6500,33154,566,successful
2013,31,56000,123.51,7,failed
2015,35,7500,5848,51,failed
2017,31,3600,3668,120,successful
2017,34,10000,477,13,failed
2016,30,900,64,7,failed
2014,27,20000,45450.13,903,successful
2011,36,5000,5130.01,117,successful
2017,45,12300,4858,37,failed
2014,15,5000,2490,122,failed
2016,25,7500,89886,1994,successful
2014,28,2000,423,16,failed
2015,37,7000,9473,221,successful
2011,60,20000,31632.25,487,successful
2013,45,10000,1403,42,failed
2012,40,12000,1641,14,failed
2017,31,8800,38123,957,successful
2013,45,30000,100273,236,successful
2013,30,3500,4063,60,successful
2015,60,1000,14976.09,826,successful
2017,29,5000,63702,1591,successful
2012,43,18000,1957,46,failed
2016,30,1000,1039.16,30,successful
2016,30,15750,402,12,failed
2017,21,5000,7285,30,successful
2015,37,1000,5209,53,successful
2015,30,4000,38,6,failed
2013,24,500,4393,353,successful
2012,30,30000,6231,97,failed
2016,30,12000,12136,197,successful
2015,27,9000,24069,603,successful
2014,33,500,965,78,successful
2013,25,25000,631230.58,13765,successful
2016,51,8000,29538,805,successful
2014,10,1000,12071,298,successful
2016,15,4200,8223.11,46,successful
2012,30,5000,8732,114,successful
2013,13,10000,16410.5,811,successful
2015,29,8000,13160,473,successful
2012,31,2000,2819.77,99,successful
2014,25,20000,1516,25,failed
